state,qdate,quarter_str,ave_intrate,pct_lt3,pct_3_4,pct_4_5,pct_5_6,pct_ge6,tot_loans,share_locked_in,mortgage_rate_30yr,rate_gap,permits,hpi,hpi_yoy,unemp_rate,zhvi,zhvi_yoy,new_listing_count,active_listing_count,median_days_on_market,median_listing_price,net_migration_lag1,covid_dummy,ln_permits,ln_new_listings,post_2022
AR,2025-01-01,2025Q1,4.6,16.5,29.8,18.5,10.9,24.2,410.0,64.8,6.816833333333332,2.2168333333333328,4053.9315647921203,462.8500000000001,5.840250623127785,3.6333333333333333,215303.46832084007,3.6121085743685777,11592.0,10191.0,70.0,291316.6666666667,4.5148052137,0,8.307689089660396,9.358156746670401,1
AR,2025-04-01,2025Q2,4.6,16.2,29.2,18.1,11.0,25.6,411.0,63.5,6.7861666666666665,2.186166666666667,3447.66731016246,466.8500000000001,4.307706057153093,3.7000000000000006,214396.63675756802,1.4419819852022009,13922.0,11214.0,57.333333333333336,301333.3333333333,4.5148052137,0,8.145743148487966,9.541297427909285,1
AR,2025-07-01,2025Q3,4.6,16.0,28.7,17.7,11.0,26.6,408.0,62.400000000000006,6.553333333333334,1.953333333333334,4107.5848069741205,472.32,3.3884948778565738,3.8000000000000003,214517.8591527062,0.6662174403672116,12736.0,12652.0,63.666666666666664,304983.3333333333,4.5148052137,0,8.320833918991992,9.45226642258976,1
AZ,2022-04-01,2022Q2,3.7,25.7,43.1,19.1,6.6,5.4,1254.0,87.9,5.244833333333333,1.544833333333333,15437.832129161841,687.7800000000001,28.135479543930273,3.7000000000000006,447832.7120661056,27.053610132796702,43234.0,7686.0,25.333333333333332,515483.3333333333,11.649945103,0,9.64464118141498,10.674405631394531,1
AZ,2022-07-01,2022Q3,3.8,25.2,42.0,19.2,7.9,5.8,1257.0,86.4,5.582333333333334,1.7823333333333338,14663.18509460456,696.62,19.84860215053763,3.7999999999999994,458066.88671784353,20.271798246912944,36578.0,20621.0,39.666666666666664,489483.3333333333,11.649945103,0,9.593163411821532,10.507229584228375,1
AZ,2022-10-01,2022Q4,3.8,24.7,41.2,18.9,8.2,7.0,1261.0,84.80000000000001,6.689666666666667,2.889666666666667,12057.67112098015,670.79,9.828737965813072,3.766666666666667,440725.7222814408,9.778483093935408,25360.0,25185.0,59.666666666666664,462496.6666666667,11.649945103,0,9.397539275236472,10.14096783995039,1
AZ,2023-01-01,2023Q1,3.8,24.4,40.5,18.5,8.6,8.0,1265.0,83.4,6.358,2.558,12744.19950687497,665.9,4.06476113081935,3.6333333333333333,422109.48378670035,0.2424363549413222,28234.0,19785.0,63.0,470391.6666666667,9.3300456355,0,9.452909970424454,10.248317622106937,1
AZ,2023-04-01,2023Q2,3.9,23.8,39.5,18.1,9.1,9.4,1273.0,81.4,6.493833333333334,2.593833333333334,12337.53628967287,676.59,-1.6269737416034324,3.6333333333333333,418041.3738207217,-6.652336339598697,27616.0,15448.0,47.333333333333336,502500.0,9.3300456355,0,9.420482675324608,10.226186804119793,1
AZ,2023-07-01,2023Q3,3.9,23.4,38.7,17.7,9.3,10.9,1277.0,79.8,7.037333333333334,3.1373333333333338,16884.02254098266,690.19,-0.9230283368263814,3.733333333333333,424327.390700874,-7.365626504618339,29440.0,13894.0,46.333333333333336,504163.3333333333,9.3300456355,0,9.734182267789619,10.290143539657238,1
AZ,2023-10-01,2023Q4,4.0,23.1,38.1,17.4,9.3,12.1,1280.0,78.6,7.2923333333333344,3.2923333333333344,15657.2668668441,696.36,3.81192325466988,3.6666666666666665,429624.14247885114,-2.5189316714081755,24402.0,17563.0,48.0,495816.6666666667,9.3300456355,0,9.65875429080481,10.102461354543133,1
AZ,2024-01-01,2024Q1,4.0,22.8,37.4,17.3,9.4,13.1,1283.0,77.5,6.746166666666667,2.7461666666666673,15858.014471548679,700.68,5.223006457426038,3.4,431601.0350995609,2.248599398362927,30248.0,18084.0,55.0,501083.3333333333,4.6962185887,0,9.671493354011501,10.317218405061325,1
AZ,2024-04-01,2024Q2,4.1,22.4,36.6,16.9,9.4,14.7,1288.0,75.9,6.989999999999999,2.8899999999999997,14733.56921900315,713.2400000000001,5.416869891662612,3.4333333333333336,435163.1471751108,4.095712631958737,29674.0,22390.0,58.666666666666664,514631.6666666667,4.6962185887,0,9.59795165952239,10.298060219477868,1
AZ,2024-07-01,2024Q3,4.1,22.0,36.0,16.6,9.7,15.6,1292.0,74.6,6.509166666666666,2.4091666666666667,14828.15777959041,718.34,4.07858705573827,3.6999999999999997,434609.05916462746,2.423050853910458,26400.0,21342.0,58.0,497174.6666666667,4.6962185887,0,9.604350641853081,10.181157167204903,1
AZ,2024-10-01,2024Q4,4.2,21.7,35.3,16.4,10.2,16.4,1294.0,73.4,6.649333333333334,2.4493333333333336,13094.16142892915,719.2800000000001,3.2914009994830407,3.8666666666666667,432791.9937999591,0.7373541214025003,25742.0,24094.0,60.0,487313.3333333333,4.6962185887,0,9.47999808439001,10.15591802447523,1
AZ,2025-01-01,2025Q1,4.2,21.3,34.6,16.2,10.3,17.5,1296.0,72.10000000000001,6.816833333333332,2.6168333333333322,12346.18982923608,719.69,2.7130787235257303,3.9666666666666663,430157.39001544175,-0.334486010624635,35884.0,24365.0,60.0,488296.0,4.5711439327,0,9.421183771972606,10.488074659864171,1
AZ,2025-04-01,2025Q2,4.2,20.9,33.8,16.0,10.4,18.8,1301.0,70.69999999999999,6.7861666666666665,2.5861666666666663,13851.08464839865,727.7000000000002,2.027368066849866,4.1,425400.61586133577,-2.2434186757654295,33192.0,30084.0,58.0,498500.0,4.5711439327,0,9.536191016418934,10.410094289300497,1
AZ,2025-07-01,2025Q3,4.3,20.7,33.4,15.9,10.5,19.6,1296.0,70.0,6.553333333333334,2.253333333333334,10726.48280509125,727.66,1.2974357546565507,4.133333333333333,421035.45083459263,-3.1231765753168994,28098.0,29089.0,69.0,481025.0,4.5711439327,0,9.280564213983132,10.243489267499987,1
CA,2022-04-01,2022Q2,3.6,30.9,40.2,17.2,6.0,5.7,5723.0,88.3,5.244833333333333,1.6448333333333331,30590.35615995675,919.84,20.8360153961352,4.133333333333333,752597.1480153917,17.597744833174755,130686.0,29492.0,28.0,770000.0,-11.96630916,0,10.328472769603138,11.780560430243058,1
CA,2022-07-01,2022Q3,3.7,30.5,39.6,17.3,6.7,5.9,5717.0,87.39999999999999,5.582333333333334,1.8823333333333334,28822.71280293341,913.68,14.083082570640148,3.9,754617.9851613956,12.9097540455273,102276.0,59196.0,40.0,737500.0,-11.96630916,0,10.268953688561103,11.535440097727397,1
CA,2022-10-01,2022Q4,3.7,30.3,39.1,17.2,6.9,6.5,5715.0,86.60000000000001,6.689666666666667,2.9896666666666665,22729.6012781597,888.19,6.585784401963268,4.3,736448.1738136256,7.557322315224924,64700.0,58449.0,54.666666666666664,703300.0,-11.96630916,0,10.031467369561371,11.07753193632009,1
CA,2023-01-01,2023Q1,3.7,30.1,38.8,17.0,7.1,7.0,5710.0,85.9,6.358,2.6579999999999995,25091.66106579758,885.58,2.1406657285875763,4.466666666666667,718137.8810431141,0.4295473323601362,68892.0,40126.0,56.0,702975.0,-8.792477974,0,10.130330694549395,11.140309855323784,1
CA,2023-04-01,2023Q2,3.7,29.8,38.3,16.8,7.3,7.7,5707.0,84.89999999999999,6.493833333333334,2.7938333333333336,29175.61389624763,907.07,-1.388284919116367,4.566666666666666,715340.6528437348,-4.950390161576179,88292.0,33489.0,39.333333333333336,767166.6666666666,-8.792477974,0,10.281122773405338,11.388416108251418,1
CA,2023-07-01,2023Q3,3.8,29.6,37.8,16.6,7.4,8.7,5707.0,84.0,7.037333333333334,3.237333333333334,28707.54787353072,917.7800000000001,0.44873478679625656,4.8,734624.1227344429,-2.649534310088897,82136.0,39845.0,41.0,767666.6666666666,-8.792477974,0,10.264950192718238,11.316143863834073,1
CA,2023-10-01,2023Q4,3.8,29.4,37.4,16.4,7.3,9.5,5704.0,83.19999999999999,7.2923333333333344,3.4923333333333346,26371.46255079469,918.7199999999999,3.4373275988245577,5.066666666666666,752363.2061800907,2.1610525943802195,65718.0,45905.0,49.0,743666.6666666666,-8.792477974,0,10.180075659545274,11.093143355967271,1
CA,2024-01-01,2024Q1,3.8,29.2,37.0,16.3,7.3,10.1,5701.0,82.5,6.746166666666667,2.9461666666666675,25689.69737188258,934.0,5.467603152736045,5.1,756630.7917493102,5.360100298606185,78682.0,36174.0,47.666666666666664,731069.0,-8.783146807,0,10.153884235390711,11.273182400906755,1
CA,2024-04-01,2024Q2,3.9,28.9,36.5,16.1,7.3,11.2,5702.0,81.5,6.989999999999999,3.0899999999999994,24475.11376409266,948.44,4.560838744529083,5.233333333333333,765256.4702872969,6.9779086712224325,101552.0,42968.0,37.333333333333336,780979.3333333334,-8.783146807,0,10.105452972557112,11.528336108669661,1
CA,2024-07-01,2024Q3,3.9,28.6,36.0,15.9,7.5,12.0,5705.0,80.5,6.509166666666666,2.6091666666666664,25257.71745768169,957.91,4.372507572620887,5.433333333333334,772351.4381885608,5.135594419863043,93614.0,57148.0,45.666666666666664,771862.6666666666,-8.783146807,0,10.136926620968651,11.446945906036254,1
CA,2024-10-01,2024Q4,3.9,28.4,35.5,15.8,7.8,12.6,5701.0,79.7,6.649333333333334,2.749333333333334,25145.972483643018,960.9,4.59117032392895,5.5,777851.1347049024,3.38771597487062,69248.0,61937.0,56.333333333333336,740483.3333333334,-8.783146807,0,10.132492789897851,11.145463983512109,1
CA,2025-01-01,2025Q1,3.9,28.2,35.1,15.6,7.8,13.3,5693.0,78.89999999999999,6.816833333333332,2.9168333333333325,23690.00773898048,962.29,3.028907922912194,5.366666666666667,777726.0694067635,2.7880543440059524,94274.0,47924.0,51.666666666666664,726966.0,-6.152054681,0,10.072850834828948,11.453971322126558,1
CA,2025-04-01,2025Q2,4.0,27.9,34.6,15.3,7.9,14.3,5692.0,77.8,6.7861666666666665,2.7861666666666665,25161.345880155928,970.7000000000002,2.347011935388643,5.333333333333333,767763.0738377523,0.3275507817025458,108612.0,64963.0,45.0,771166.6666666666,-6.152054681,0,10.133103944947905,11.59554638465856,1
CA,2025-07-01,2025Q3,4.0,27.7,34.4,15.2,7.9,14.9,5659.0,77.3,6.553333333333334,2.5533333333333337,25603.63012177523,968.85,1.1420697142737968,5.533333333333334,759617.9031347629,-1.6486711131997844,92640.0,77994.0,55.333333333333336,749466.6666666666,-6.152054681,0,10.150528478245553,11.436487087221792,1
CO,2022-04-01,2022Q2,3.6,29.9,44.5,16.8,5.5,3.3,1149.0,91.2,5.244833333333333,1.6448333333333331,13238.67919958753,831.58,21.85750710706018,3.033333333333333,560456.1602650605,18.86792923546201,39862.0,7382.0,19.666666666666668,642916.6666666666,1.0688511686,0,9.490973599559053,10.593203854356613,1
CO,2022-07-01,2022Q3,3.6,29.2,43.4,16.9,6.9,3.7,1152.0,89.5,5.582333333333334,1.9823333333333335,11678.407094394981,822.84,13.82644662396768,2.733333333333333,563623.2361458554,14.265132617101116,30570.0,17129.0,37.0,615216.6666666666,1.0688511686,0,9.365582492627578,10.327807126158824,1
CO,2022-10-01,2022Q4,3.6,28.8,42.6,16.7,7.2,4.7,1151.0,88.10000000000001,6.689666666666667,3.0896666666666666,8363.144560537341,803.61,8.112362271461437,2.966666666666667,549750.1176801305,8.72919158059049,17362.0,17871.0,59.0,585188.0,1.0688511686,0,9.031709344059774,9.762096784344138,1
CO,2023-01-01,2023Q1,3.7,28.5,42.0,16.5,7.6,5.5,1152.0,87.0,6.358,2.6579999999999995,10556.91420034675,805.69,4.079523581919897,3.033333333333333,539752.8096673264,2.047913565092574,20244.0,12224.0,64.33333333333333,598632.6666666666,0.9299158028,0,9.264631018844266,9.915663128466262,1
CO,2023-04-01,2023Q2,3.7,27.9,41.1,16.1,8.0,6.9,1155.0,85.1,6.493833333333334,2.7938333333333336,11130.87686289372,826.64,-0.5940498809495209,3.1666666666666665,535944.9069950633,-4.37344702543816,29854.0,12189.0,37.333333333333336,646450.0,0.9299158028,0,9.31756806104074,10.304107608981093,1
CO,2023-07-01,2023Q3,3.8,27.5,40.3,15.9,8.0,8.4,1156.0,83.7,7.037333333333334,3.237333333333334,8497.84876561609,827.35,0.5481016965631191,3.3666666666666667,541130.4248801959,-3.990753010729098,26092.0,16782.0,43.666666666666664,640796.6666666666,0.9299158028,0,9.04768599396639,10.169422358105223,1
CO,2023-10-01,2023Q4,3.8,27.1,39.7,15.7,8.0,9.5,1158.0,82.50000000000001,7.2923333333333344,3.4923333333333346,10535.35340252805,818.59,1.8640883015393017,3.6333333333333333,544472.8454184899,-0.9599401786233308,16756.0,17901.0,59.666666666666664,600450.0,0.9299158028,0,9.262586785241758,9.726571360400724,1
CO,2024-01-01,2024Q1,3.9,26.8,39.0,15.5,8.1,10.5,1160.0,81.3,6.746166666666667,2.8461666666666674,8893.17683396274,832.06,3.2729709938065454,3.9,544327.1047437857,0.8474796229923642,22960.0,12893.0,60.0,593133.3333333334,1.0212828166,0,9.093152053261425,10.041552403492023,1
CO,2024-04-01,2024Q2,3.9,26.3,38.2,15.3,8.1,12.1,1163.0,79.8,6.989999999999999,3.0899999999999994,7347.33334015598,845.06,2.2282976870221516,4.1000000000000005,546638.5339733249,1.99528474637789,33204.0,16029.0,39.333333333333336,613300.0,1.0212828166,0,8.90222881005239,10.410455745974813,1
CO,2024-07-01,2024Q3,4.0,25.9,37.3,15.0,8.5,13.4,1167.0,78.19999999999999,6.509166666666666,2.5091666666666663,7533.77141339055,847.69,2.4584516830845615,4.3999999999999995,546881.9143179585,1.0628656555461635,28750.0,23738.0,51.666666666666664,610414.6666666666,1.0212828166,0,8.927283773956841,10.266427828229292,1
CO,2024-10-01,2024Q4,4.0,25.5,36.5,14.9,8.9,14.2,1169.0,76.9,6.649333333333334,2.6493333333333338,8175.96494598302,848.0499999999998,3.5988712297975622,4.6,549278.0686598188,0.8825459858582185,18052.0,24977.0,69.0,579316.6666666666,1.0212828166,0,9.009076327248424,9.801067154936659,1
CO,2025-01-01,2025Q1,4.0,25.1,36.0,14.7,9.0,15.2,1168.0,75.8,6.816833333333332,2.8168333333333324,7472.85237540794,850.93,2.2678652981756198,4.733333333333333,548620.6898779616,0.7887876787243453,28176.0,17850.0,62.666666666666664,564658.3333333334,0.8394434566,0,8.91916585809868,10.246261321304372,1
CO,2025-04-01,2025Q2,4.1,24.7,35.2,14.4,9.1,16.6,1170.0,74.30000000000001,6.7861666666666665,2.686166666666667,8871.68817727705,855.85,1.27683241426646,4.766666666666667,540745.7398103419,-1.0780056283537842,37464.0,24093.0,45.333333333333336,595256.6666666666,0.8394434566,0,9.090733093343593,10.531162442798411,1
