state,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,r_squared,n_obs,tier,significant
OR,-0.1039298364162701,0.020886048304449713,-4.976041178365375,6.489784709984501e-07,-0.1448657388723554,-0.0629939339601848,0.7002788083925304,37,Moderate-High,True
NY,-0.10247234498193092,0.011318265093408207,-9.053714870277348,1.3818533476729807e-19,-0.12465573693248788,-0.08028895303137396,0.8109416197022774,37,Moderate-High,True
AK,-0.09999025157628061,0.02086898730493039,-4.79133223453816,1.6567752016462951e-06,-0.14089271508776777,-0.059087788064793444,0.8057236562137328,37,Moderate-High,True
MT,-0.09684624715456841,0.025263651157210094,-3.833422435732496,0.0001263726603888091,-0.14636209354068386,-0.04733040076845297,0.6591068399085478,37,Moderate-High,True
CA,-0.09642752969069229,0.012892756205618246,-7.479202131245784,7.477518890475208e-14,-0.12169686751515935,-0.07115819186622524,0.7833094222221981,37,Moderate-High,True
ND,-0.08812121844795884,0.01420180330505401,-6.20493162418318,5.472068895767421e-10,-0.11595624144138661,-0.060286195454531066,0.8054706981346638,37,Moderate-High,True
CO,-0.08756292658533937,0.020047497692628997,-4.367773371413543,1.2551963786870884e-05,-0.12685530004304205,-0.04827055312763671,0.640949260305133,37,Moderate-High,True
NV,-0.08679609419167572,0.015040109492952012,-5.770974887672825,7.881422085513124e-09,-0.11627416712140064,-0.057318021261950805,0.7167082750003253,37,Moderate-Low,True
HI,-0.08607940225897676,0.016004016620332847,-5.378612400940289,7.506211320343287e-08,-0.11744669844280957,-0.05471210607514394,0.5364876007872741,37,Moderate-Low,True
MO,-0.08172826460685884,0.01464142961723575,-5.581986646348326,2.3778663912602253e-08,-0.11042493933881897,-0.0530315898748987,0.5846435432761605,37,Moderate-Low,True
WV,-0.0758606002941083,0.015344941880460051,-4.943687691036986,7.665847541007498e-07,-0.10593613372467033,-0.04578506686354626,0.4923497868014549,37,Moderate-Low,True
AZ,-0.07525199863331433,0.018026362459783233,-4.1745526198755485,2.985722057507227e-05,-0.11058301982675434,-0.039920977439874335,0.522097643872856,37,Moderate-Low,True
GA,-0.07483166629260701,0.017981857877708226,-4.161509161151498,3.161513126003364e-05,-0.11007546010803299,-0.03958787247718104,0.3891232260443631,37,Moderate-Low,True
IN,-0.07418997661498405,0.016717154492317445,-4.437954835500197,9.081766872027718e-06,-0.10695499734391822,-0.04142495588604989,0.5299279223177351,37,Moderate-Low,True
ID,-0.07300955647359247,0.01898575380562792,-3.845491583902787,0.00012031099414989909,-0.11022095015196746,-0.035798162795217484,0.6767652155968857,37,Moderate-Low,True
NC,-0.0708547346110453,0.018700815325646724,-3.7888580458774705,0.00015134135606834434,-0.10750765913084756,-0.03420181009124304,0.3497925693348354,37,Moderate-Low,True
LA,-0.0666087389558993,0.013899954453527005,-4.792011310439787,1.651175921375596e-06,-0.09385214907155937,-0.039365328840239244,0.46838225472961736,37,Moderate-Low,True
KS,-0.06379166997545996,0.013215196920330831,-4.827144866628517,1.3850437249917874e-06,-0.08969297998791302,-0.037890359963006895,0.5795048666774393,37,Moderate-Low,True
KY,-0.06288354854161854,0.014938039644059504,-4.209625227941191,2.557946342340742e-05,-0.09216156824360669,-0.03360552883963038,0.4489319881202828,37,Moderate-Low,True
OK,-0.05930747658762392,0.010742142835411181,-5.5210098670554295,3.370568498061157e-08,-0.08036168966181481,-0.03825326351343303,0.657374467897023,37,Mild,True
IA,-0.05800315398380962,0.012346669141552885,-4.697878700628594,2.6287746676884796e-06,-0.08220218083028534,-0.0338041271373339,0.6424046024881962,37,Mild,True
MS,-0.0574734010852479,0.020908885381269286,-2.748754897127804,0.005982210118448742,-0.09845406338941173,-0.016492738781084065,0.3930037333836014,37,Mild,True
SD,-0.04464041190834128,0.024006633476174294,-1.8595032057554117,0.0629558452831066,-0.09169254891169651,0.0024117250950139377,0.6842886753283396,37,Mild,False
UT,-0.04426074407857544,0.02217971008495931,-1.995551064871218,0.045982810558288845,-0.0877321770326355,-0.000789311124515378,0.4152343952825477,37,Mild,True
SC,-0.04051558882973949,0.014083222671976401,-2.8768691494426,0.0040164210583367565,-0.06811819805307118,-0.012912979606407797,0.3289927962711936,37,Mild,True
AL,-0.037825110215649826,0.014203276914813623,-2.6631255901375326,0.007741851343005844,-0.0656630214311337,-0.009987199000165953,0.3384297687605443,37,Mild,True
NE,-0.035124145870038925,0.012400128374135748,-2.8325630840484726,0.004617645370735969,-0.05942795088701821,-0.010820340853059641,0.7097698889248026,37,Mild,True
FL,-0.029665266515564587,0.012934441079234835,-2.2935097337286336,0.021818675616975765,-0.05501630519102026,-0.00431422784010892,0.17785145348330444,37,Mild,True
AR,-0.028291023130922188,0.014190571639575602,-1.9936492940159167,0.04619039431779011,-0.056104032464525874,-0.0004780137973185057,0.2770392210118614,37,Mild,True
TN,-0.025055694460381778,0.016580663329325375,-1.5111394497750308,0.13075292549526907,-0.0575531974256435,0.0074418085048799446,0.21984230218875045,37,Mild,False
TX,-0.022303727208992152,0.012482527677625312,-1.7867957344065137,0.07397050904204892,-0.046769031893162165,0.00216157747517786,0.5552474187090991,37,Mild,False
DC,0.09199685134765284,0.024646503866029585,3.732653192830835,0.0001894733899651379,0.04369059142540765,0.14030311126989803,0.5291507028182052,37,Mild,True
